,crop,State,Season,Yield -2005-06,Yield-2006-07,Yield-2007-08,Yield-2008-09,Yield-2009-10,Yield-2010-11,Yield-2011-12,Yield-2012-13,Yield-2013-14,Yield-2014-15,Yield-2015-16,Yield-2016-17,Yield-2017-18,Yield-2018-19,Yield-2019-20,Yield-2020-21*,Max_Temp,Min_Temp,Rainfall,Fertilizer,COI,COR,Soiltype,PhValue,AvgTemp
0,Rice,Andhra Pradesh,Kharif,2525,2631,3177,2990,2742,2570,2980,2882,2552,2594,2934,3194,3346,3353,3353,2815,33.57,22.72,1002.37,112.5,24230,52850,alluvial soil,6,28.145
1,Rice,Andhra Pradesh,Rabi,3659,3682,3651,3700,3543,3777,3543,3806,3496,3943,4440,4440,4749,4645,4576,4442,33.57,22.72,1002.37,112.5,24230,52850,alluvial soil,6,28.145
2,Rice,Arunachal Pradesh,Kharif,1195,1195,1275,1293,1777,1925,2065,2086,2092,2241,1584,1680,1768,1802,1835,1544,24.84,14.24,1656.61,112.5,24230,52850,alluvial soil,6,19.54
3,Rice,Assam,Kharif,999,887,983,1069,966,1137,1217,1296,1753,1431,1288,1311,1363,1385,1371,1544,28.57,18.85,1599.61,112.5,24230,52850,alluvial soil,6,23.71
4,Rice,Assam,Rabi,1520,1302,1359,1616,1796,1910,1757,1968,1921,1975,1288,1311,1363,1385,1371,1544,28.57,18.85,1599.61,112.5,24230,52850,alluvial soil,6,23.71
5,Rice,Bihar,Kharif,940,962,635,1331,947,896,1399,1521,1142,1194,1288,1311,1363,1385,1371,1544,31.67,19.8,1133.081,112.5,24230,52850,clay soil,6,25.735
6,Rice,Bihar,Rabi,1090,1584,1332,1647,1132,1100,2322,2420,1865,2108,1288,1311,1363,1385,1371,1544,31.67,19.8,1133.081,112.5,24230,52850,clay soil,6,25.735
7,Rice,Chattisgarh,Kharif,1337,1354,1446,1176,1120,1663,1597,1746,1766,1660,1517,2101,1311,1810,1848,1889,32.29,20.28,1341.33,112.5,24230,52850,alluvial soil,6,26.285
8,Rice,Goa,Kharif,2866,2406,2277,2335,1900,2358,2521,2599,2828,2919,2830,2791,1363,1385,1371,1544,31.39,22.31,2539.46,112.5,24230,52850,sandy soil,6,26.85
9,Rice,Goa,Rabi,2731,2566,2430,2752,2600,2677,2688,2853,3202,2777,2687,2738,1363,1385,1371,1544,31.39,22.31,2539.46,112.5,24230,52850,sandy soil,6,26.85
10,Rice,Gujarat,Kharif,1949,1799,1895,1698,1866,1956,2024,2095,2038,2297,2148,2238,2179,2248,2144,2305,34.05,20.94,1155.18,112.5,24230,52850,alluvial soil,6,27.495
11,Rice,Gujarat,Rabi,1078,1085,2970,3080,3048,908,3190,4586,3000,3129,3548,3273,2664,3131,2950,3129,34.05,20.94,1155.18,112.5,24230,52850,alluvial soil,6,27.495
12,Rice,Haryana,Kharif,3051,3238,3361,2726,3008,2789,3044,3272,3256,3113,3061,3213,3181,3121,3334,3334,31.88,19.16,1132.3,112.5,24230,52850,alluvial soil,6,25.52
13,Rice,Himachal Pradesh,Kharif,1412,1559,1546,1523,1381,1673,1705,1629,1625,1728,1763,1968,1603,1600,1980,2051,14.26,4.04,1656.61,112.5,24230,52850,alluvial soil,6,9.15
14,Rice,Jammu & Kashmir,Kharif,2150,2194,2133,2186,1914,1942,2078,3126,2250,1871,2123,2019,1876,2350,2093,1544,12.5,2.5,1599.61,112.5,24230,52850,alluvial soil,6,7.5
15,Rice,Jharkhand,Kharif,628,1085,1167,1119.5,1100,1144,2131,2238,2238,1318,1288,1311,1363,1385,1371,1544,31.28,19.38,1133.08,112.5,24230,52850,clay soil,6,25.33
16,Rice,Jharkhand,Rabi,1223,1085,1167,1119.5,1100,1144,1304.5,1350,1308,1318,1288,1311,1363,1385,1371,1544,31.28,19.38,1133.08,112.5,24230,52850,clay soil,6,25.33
17,Rice,Karnataka,Kharif,3657,2402,2545,2412,2345,2705,2717,2545,2545,2573,2704,2487,3030,2989,3030,3030,31.63,20.8,1002.37,112.5,24230,52850,alluvial soil,6,26.215
18,Rice,Karnataka,Rabi,3200,2227,2100,2146,2237,2189,2186,1588,1588,2458,2850,2848,3063,3160,3193,2859,31.63,20.8,1002.37,112.5,24230,52850,alluvial soil,6,26.215
19,Rice,Kerala,Kharif,2162,2264,2169,2428,2486,2415,2519,2548,2625,2890,1288,1311,1363,1385,1371,1544,30.61,22.6,1478.6,112.5,24230,52850,alluvial soil,6,26.605
20,Rice,Kerala,Rabi,2299,2408,2371,2370,2533,2348,2675,2451,2426,2596,1288,1311,1363,1385,1371,1544,30.61,22.6,1478.6,112.5,24230,52850,alluvial soil,6,26.605
21,Rice,Madhya Pradesh,Kharif,999,824,938,927,872,1106,1340,1474,1474,1684,1752,1840,2024,1875,2363,2061,32.64,19.52,1341.33,112.5,24230,52850,alluvial soil,6,26.08
22,Rice,Maharashtra,Kharif,1770,1669,1898,1489,1474,1766,1837,1965,1924,1880,1711,2011,1873,2218,1828,2016,33.48,20.57,1063.7,112.5,24230,52850,alluvial soil,6,27.025
23,Rice,Maharashtra,Rabi,2098,2105,2128,2273,2250,2219,2074,1897,2289,2581,2375,2328,2376,2778,2612,2778,33.48,20.57,1063.7,112.5,24230,52850,alluvial soil,6,27.025
24,Rice,Manipur,Kharif,2322,2322,2446,2357,1889,2453,2642,2546,2201,2678,2670,3837,3561,2306,3775,1544,25.72,15.68,1656.6,112.5,24230,52850,alluvial soil,6,20.7
25,Rice,Meghalaya,Kharif,1432,1695,1602,1651,1673,1671,1752,1807,2241,2436,2460,1649,2474,1644,2469,1544,26.82,17.99,1599.6,112.5,24230,52850,alluvial soil,6,22.405
26,Rice,Meghalaya,Rabi,2214,4000,4147,3641,3679,3705,3762,4510,4326,4603,4608,3090,4636,3085,4629,1544,26.82,17.99,1599.6,112.5,24230,52850,alluvial soil,6,22.405
27,Rice,Mizoram,Kharif,1770,510,285,882,938,1160,1392,2091,1521,1634,1659,1663,1645,1683,1700,1544,27.46,18.15,2539.4,112.5,24230,52850,alluvial soil,6,22.805
28,Rice,Mizoram,Rabi,2600,1682,1000,2000,1500,1144,3000,1933,1600,2313,2550,2213,2049,2087,2051,1544,27.46,18.15,2539.4,112.5,24230,52850,alluvial soil,6,22.805
29,Rice,Nagaland,Kharif,1682,1600,1685,1994,1426,2102,2106,2204,2260,2319,1581,1624,1643,1657,1669,1544,25.26,15.26,1656.6,112.5,24230,52850,alluvial soil,6,20.26
30,Rice,Odisha,Kharif,872,1011,1097,1040,900,831,778,948,762,820,1288,1311,1363,1385,1371,1544,32.61,20.86,1002.3,112.5,24230,52850,alluvial soil,6,26.735
31,Rice,Odisha,Rabi,1623,1580,1750,1541,1635,1658,1433,1849,1857,2076,1288,1311,1363,1385,1371,1544,32.61,20.86,1002.3,112.5,24230,52850,alluvial soil,6,26.735
32,Rice,Punjab,Kharif,3858,3868,4019,4022,4010,3828,3741,3998,3952,3838,3974,3998,4366,4132,4034,4366,31.14,18.04,992.5,112.5,24230,52850,alluvial soil,6,24.59
33,Rice,Rajasthan,Kharif,1425,1577,2031,1807,1515,2025,1886,1771,2147,2186,2022,2289,2365,2291,2189,2739,33.52,19.39,1062.3,112.5,24230,52850,alluvial soil,6,26.455
34,Rice,Sikkim,Kharif,1433,1433,1636,1476,1869,1727,1730,1790,1815,1818,1230,1847,1856,1856,1858,1544,12.16,0.35,2500,112.5,24230,52850,alluvial soil,6,6.255
35,Rice,Tamil Nadu,Kharif,3655,4914,4044,3850,4406,4362,5623,3893,4448,4578,1288,1311,1363,1385,1371,1544,32.39,23.32,1386.4,112.5,24230,52850,alluvial soil,6,27.855
36,Rice,Tamil Nadu,Rabi,2338,3144,2587,2464,2820,2792,3599,2492,2848,2931,1288,1311,1363,1385,1371,1544,32.39,23.32,1386.4,112.5,24230,52850,alluvial soil,6,27.855
37,Rice,Telangana,Kharif,1078,1085,1167,1119.5,1100,1144,1304.5,1350,1308,2990,2933,2992,2814,3477,3669,3022,33.76,16.78,1092.6,112.5,24230,52850,alluvial soil,6,25.27
